lot_id,fascicule,batch_index,n_articles,tokens_articles,tokens_fixe,tokens_total,tokens_output_min,tokens_output_moyen,tokens_output_max,cout_sans_cache_min,cout_avec_cache_min,cout_sans_cache_moyen,cout_avec_cache_moyen,cout_sans_cache_max,cout_avec_cache_max
36,4140779,0,25,20145,8912,29057,676,1176,1676,0.01554,0.01332,0.01629,0.01407,0.01704,0.01482
37,4140779,1,25,12748,8912,21660,680,1180,1680,0.01185,0.00963,0.0126,0.01038,0.01335,0.01113
38,4140779,2,25,10759,8912,19671,689,1189,1689,0.01087,0.00865,0.01162,0.0094,0.01237,0.01015
39,4140779,3,25,8358,8912,17270,705,1205,1705,0.00969,0.00747,0.01044,0.00822,0.01119,0.00897
40,4140779,4,25,11272,8912,20184,705,1205,1705,0.01115,0.00893,0.0119,0.00968,0.01265,0.01043
41,4140779,5,7,7258,8912,16170,201,341,481,0.00839,0.00616,0.0086,0.00637,0.00881,0.00658
42,4602945,0,25,10484,8912,19396,671,1171,1671,0.0107,0.00848,0.01145,0.00923,0.0122,0.00998
43,4602945,1,25,9331,8912,18243,680,1180,1680,0.01014,0.00792,0.01089,0.00867,0.01164,0.00942
44,4602945,2,25,6279,8912,15191,680,1180,1680,0.00862,0.00639,0.00937,0.00714,0.01012,0.00789
45,4602945,3,3,315,8912,9227,86,146,206,0.00474,0.00252,0.00483,0.00261,0.00492,0.0027
46,4604241,0,25,7068,8912,15980,675,1175,1675,0.009,0.00678,0.00975,0.00753,0.0105,0.00828
47,4604241,1,25,7192,8912,16104,680,1180,1680,0.00907,0.00685,0.00982,0.0076,0.01057,0.00835
48,4604241,2,25,9929,8912,18841,680,1180,1680,0.01044,0.00822,0.01119,0.00897,0.01194,0.00972
49,4604241,3,25,6312,8912,15224,698,1198,1698,0.00866,0.00644,0.00941,0.00719,0.01016,0.00794
50,4604241,4,25,8641,8912,17553,705,1205,1705,0.00983,0.00761,0.01058,0.00836,0.01133,0.00911
51,4604241,5,25,6132,8912,15044,705,1205,1705,0.00858,0.00636,0.00933,0.00711,0.01008,0.00786
52,4604241,6,25,5121,8912,14033,705,1205,1705,0.00807,0.00585,0.00882,0.0066,0.00957,0.00735
53,4604241,7,1,184,8912,9096,33,53,73,0.0046,0.00238,0.00463,0.00241,0.00466,0.00244
54,4606143,0,25,11277,8912,20189,676,1176,1676,0.01111,0.00889,0.01186,0.00964,0.01261,0.01039
55,4606143,1,25,9440,8912,18352,680,1180,1680,0.0102,0.00797,0.01095,0.00872,0.0117,0.00947
56,4606143,2,25,4390,8912,13302,680,1180,1680,0.00767,0.00545,0.00842,0.0062,0.00917,0.00695
57,4606143,3,15,2317,8912,11229,410,710,1010,0.00623,0.00401,0.00668,0.00446,0.00713,0.00491
58,4609982,0,25,4875,8912,13787,677,1177,1677,0.00791,0.00569,0.00866,0.00644,0.00941,0.00719
59,4609982,1,25,7749,8912,16661,680,1180,1680,0.00935,0.00713,0.0101,0.00788,0.01085,0.00863
60,4609982,2,25,8175,8912,17087,680,1180,1680,0.00956,0.00734,0.01031,0.00809,0.01106,0.00884
61,4609982,3,25,6141,8912,15053,693,1193,1693,0.00857,0.00634,0.00932,0.00709,0.01007,0.00784
62,4609982,4,25,10586,8912,19498,705,1205,1705,0.01081,0.00858,0.01156,0.00933,0.01231,0.01008
63,4609982,5,25,12679,8912,21591,705,1205,1705,0.01185,0.00963,0.0126,0.01038,0.01335,0.01113
64,4609982,6,14,4409,8912,13321,397,677,957,0.00726,0.00503,0.00768,0.00545,0.0081,0.00587
65,4610674,0,25,8735,8912,17647,677,1177,1677,0.00984,0.00762,0.01059,0.00837,0.01134,0.00912
66,4610674,1,25,6446,8912,15358,680,1180,1680,0.0087,0.00648,0.00945,0.00723,0.0102,0.00798
67,4610674,2,25,5360,8912,14272,680,1180,1680,0.00816,0.00593,0.00891,0.00668,0.00966,0.00743
68,4610674,3,25,5000,8912,13912,680,1180,1680,0.00798,0.00575,0.00873,0.0065,0.00948,0.00725
69,4610674,4,25,11179,8912,20091,704,1204,1704,0.0111,0.00888,0.01185,0.00963,0.0126,0.01038
70,4610674,5,25,4830,8912,13742,705,1205,1705,0.00793,0.00571,0.00868,0.00646,0.00943,0.00721
71,4610674,6,25,17379,8912,26291,705,1205,1705,0.0142,0.01198,0.01495,0.01273,0.0157,0.01348
72,4610674,7,25,3693,8912,12605,705,1205,1705,0.00736,0.00514,0.00811,0.00589,0.00886,0.00664
73,4610674,8,2,190,8912,9102,61,101,141,0.00464,0.00242,0.0047,0.00248,0.00476,0.00254
74,4614704,0,25,14388,8912,23300,675,1175,1675,0.01266,0.01044,0.01341,0.01119,0.01416,0.01194
75,4614704,1,25,11947,8912,20859,680,1180,1680,0.01145,0.00923,0.0122,0.00998,0.01295,0.01073
76,4614704,2,25,4950,8912,13862,680,1180,1680,0.00795,0.00573,0.0087,0.00648,0.00945,0.00723
77,4614704,3,16,10319,8912,19231,452,772,1092,0.01029,0.00807,0.01077,0.00855,0.01125,0.00903
78,4614978,0,25,11052,8912,19964,675,1175,1675,0.01099,0.00877,0.01174,0.00952,0.01249,0.01027
79,4614978,1,25,8102,8912,17014,680,1180,1680,0.00953,0.00731,0.01028,0.00806,0.01103,0.00881
80,4614978,2,25,15415,8912,24327,681,1181,1681,0.01319,0.01096,0.01394,0.01171,0.01469,0.01246
81,4614978,3,23,5526,8912,14438,649,1109,1569,0.00819,0.00597,0.00888,0.00666,0.00957,0.00735
82,4617451,0,25,13358,8912,22270,676,1176,1676,0.01215,0.00993,0.0129,0.01068,0.01365,0.01143
83,4617451,1,25,8348,8912,17260,680,1180,1680,0.00965,0.00743,0.0104,0.00818,0.01115,0.00893
84,4617451,2,25,10368,8912,19280,684,1184,1684,0.01067,0.00844,0.01142,0.00919,0.01217,0.00994
85,4617451,3,25,10228,8912,19140,705,1205,1705,0.01063,0.00841,0.01138,0.00916,0.01213,0.00991
86,4617451,4,25,10309,8912,19221,705,1205,1705,0.01067,0.00845,0.01142,0.0092,0.01217,0.00995
87,4626819,0,25,13579,8912,22491,678,1178,1678,0.01226,0.01004,0.01301,0.01079,0.01376,0.01154
88,4626819,1,25,2648,8912,11560,680,1180,1680,0.0068,0.00458,0.00755,0.00533,0.0083,0.00608
89,4626819,2,25,2082,8912,10994,680,1180,1680,0.00652,0.0043,0.00727,0.00505,0.00802,0.0058
90,4626819,3,25,5408,8912,14320,680,1180,1680,0.00818,0.00596,0.00893,0.00671,0.00968,0.00746
91,4626819,4,25,14471,8912,23383,703,1203,1703,0.01275,0.01052,0.0135,0.01127,0.01425,0.01202
92,4626819,5,25,12752,8912,21664,705,1205,1705,0.01189,0.00967,0.01264,0.01042,0.01339,0.01117
93,4626819,6,24,6334,8912,15246,677,1157,1637,0.00864,0.00642,0.00936,0.00714,0.01008,0.00786
94,4629483,0,25,10737,8912,19649,677,1177,1677,0.01084,0.00862,0.01159,0.00937,0.01234,0.01012
95,4629483,1,25,10581,8912,19493,680,1180,1680,0.01077,0.00854,0.01152,0.00929,0.01227,0.01004
96,4629483,2,25,8929,8912,17841,687,1187,1687,0.00995,0.00773,0.0107,0.00848,0.01145,0.00923
97,4629483,3,25,6863,8912,15775,705,1205,1705,0.00894,0.00672,0.0097,0.00747,0.01044,0.00822
98,4629483,4,25,7067,8912,15979,705,1205,1705,0.00905,0.00683,0.0098,0.00758,0.01055,0.00833
99,4629483,5,25,13563,8912,22475,705,1205,1705,0.01229,0.01007,0.01304,0.01082,0.01379,0.01157
100,4629483,6,25,9449,8912,18361,705,1205,1705,0.01024,0.00802,0.01099,0.00877,0.01174,0.00952
101,4629483,7,23,29179,8912,38091,649,1109,1569,0.02002,0.0178,0.02071,0.01849,0.0214,0.01918
102,4632496,0,25,17494,8912,26406,677,1177,1677,0.01422,0.012,0.01497,0.01275,0.01572,0.0135
103,4632496,1,25,12275,8912,21187,680,1180,1680,0.01161,0.00939,0.01236,0.01014,0.01311,0.01089
104,4632496,2,25,5209,8912,14121,698,1198,1698,0.00811,0.00589,0.00886,0.00664,0.00961,0.00739
105,4632496,3,25,8014,8912,16926,705,1205,1705,0.00952,0.0073,0.01027,0.00805,0.01102,0.0088
106,4632496,4,25,29568,8912,38480,705,1205,1705,0.0203,0.01808,0.02105,0.01883,0.0218,0.01958
107,4632496,5,13,4274,8912,13186,369,629,889,0.00715,0.00492,0.00754,0.00531,0.00793,0.0057
108,4633797,0,25,11557,8912,20469,676,1176,1676,0.01125,0.00903,0.012,0.00978,0.01275,0.01053
109,4633797,1,25,11128,8912,20040,680,1180,1680,0.01104,0.00882,0.01179,0.00957,0.01254,0.01032
110,4633797,2,25,11986,8912,20898,689,1189,1689,0.01148,0.00926,0.01223,0.01001,0.01298,0.01076
111,4633797,3,25,8459,8912,17371,705,1205,1705,0.00974,0.00752,0.01049,0.00827,0.01124,0.00902
112,4633797,4,25,5021,8912,13933,705,1205,1705,0.00802,0.0058,0.00877,0.00655,0.00952,0.0073
113,4633797,5,25,12834,8912,21746,705,1205,1705,0.01193,0.00971,0.01268,0.01046,0.01343,0.01121
114,4633797,6,11,2730,8912,11642,313,533,753,0.00629,0.00407,0.00662,0.0044,0.00695,0.00473
115,4650200,0,25,6249,8912,15161,680,1180,1680,0.0086,0.00638,0.00935,0.00713,0.0101,0.00788
